name,year,oil_prod_mill_sm3,deflator,price,price_l1,price_l2,price_l3,price_l4,price_l5,price_l6,price_l7,price_l8,real_invest_mill_nok_2010,in_place_oil_mill_sm3,recoverable_oil,pdo_approved_date,producing_date,shutdown_date,shutdown,prod_year,cost_index
ALBUSKJELL,1979,0.531,40.2150184274818,78.60247548313599,37.740610773189005,40.10288526632323,39.16392474627778,37.21397886181544,40.8371480224692,12.644433252233846,10.05023671087586,9.470447100201039,238.7167872945604,55.7,7.4,25.04.1975,26.05.1979,26.08.1998,True,0,88.62973760932944
ALBUSKJELL,1980,1.442,43.84113871045221,84.00785445661639,78.60247548313599,37.740610773189005,40.10288526632323,39.16392474627778,37.21397886181544,40.8371480224692,12.644433252233846,10.05023671087586,145.98160969925198,55.7,7.4,25.04.1975,26.05.1979,26.08.1998,True,1,90.16697588126159
ALBUSKJELL,1981,1.426,47.93469368048161,74.95614812832369,84.00785445661639,78.60247548313599,37.740610773189005,40.10288526632323,39.16392474627778,37.21397886181544,40.8371480224692,12.644433252233846,83.4468668280809,55.7,7.4,25.04.1975,26.05.1979,26.08.1998,True,2,101.69626292075272
ALBUSKJELL,1982,0.953,50.9088028077326,64.76286650172835,74.95614812832369,84.00785445661639,78.60247548313599,37.740610773189005,40.10288526632323,39.16392474627778,37.21397886181544,40.8371480224692,455.7168646770088,55.7,7.4,25.04.1975,26.05.1979,26.08.1998,True,3,108.6668433607209
ALBUSKJELL,1983,0.6970000000000001,52.9184005963474,55.840689943376034,64.76286650172835,74.95614812832369,84.00785445661639,78.60247548313599,37.740610773189005,40.10288526632323,39.16392474627778,37.21397886181544,496.9915890053433,55.7,7.4,25.04.1975,26.05.1979,26.08.1998,True,4,75.5499602438378
ALBUSKJELL,1984,0.462,54.7964383730105,52.521661725692255,55.840689943376034,64.76286650172835,74.95614812832369,84.00785445661639,78.60247548313599,37.740610773189005,40.10288526632323,39.16392474627778,0.0,55.7,7.4,25.04.1975,26.05.1979,26.08.1998,True,5,63.94116087993639
ALBUSKJELL,1985,0.35700000000000004,56.549956891411895,48.7356693355596,52.521661725692255,55.840689943376034,64.76286650172835,74.95614812832369,84.00785445661639,78.60247548313599,37.740610773189005,40.10288526632323,0.0,55.7,7.4,25.04.1975,26.05.1979,26.08.1998,True,6,66.41929499072356
ALBUSKJELL,1986,0.285,57.690075955107204,25.012967587751174,48.7356693355596,52.521661725692255,55.840689943376034,64.76286650172835,74.95614812832369,84.00785445661639,78.60247548313599,37.740610773189005,100.53722245942954,55.7,7.4,25.04.1975,26.05.1979,26.08.1998,True,7,67.81076066790352
ALBUSKJELL,1987,0.21600000000000005,59.162481784071595,31.307848219759503,25.012967587751174,48.7356693355596,52.521661725692255,55.840689943376034,64.76286650172835,74.95614812832369,84.00785445661639,78.60247548313599,8.451301989407344,55.7,7.4,25.04.1975,26.05.1979,26.08.1998,True,8,50.62284654121388
ALBUSKJELL,1988,0.17600000000000002,61.233499846854286,24.412018536780177,31.307848219759503,25.012967587751174,48.7356693355596,52.521661725692255,55.840689943376034,64.76286650172835,74.95614812832369,84.00785445661639,8.165465002825346,55.7,7.4,25.04.1975,26.05.1979,26.08.1998,True,9,62.099125364431494
ALBUSKJELL,1989,0.142,63.6146219458409,28.69099290129469,24.412018536780177,31.307848219759503,25.012967587751174,48.7356693355596,52.521661725692255,55.840689943376034,64.76286650172835,74.95614812832369,22.007518981908078,55.7,7.4,25.04.1975,26.05.1979,26.08.1998,True,10,61.10522130930295
ALBUSKJELL,1990,0.109,65.9675393933173,35.89012649414018,28.69099290129469,24.412018536780177,31.307848219759503,25.012967587751174,48.7356693355596,52.521661725692255,55.840689943376034,64.76286650172835,12.127176598632422,55.7,7.4,25.04.1975,26.05.1979,26.08.1998,True,11,62.31115822952557
ALBUSKJELL,1991,0.091,68.1632532565899,29.35721576845179,35.89012649414018,28.69099290129469,24.412018536780177,31.307848219759503,25.012967587751174,48.7356693355596,52.521661725692255,55.840689943376034,5.868264510413883,55.7,7.4,25.04.1975,26.05.1979,26.08.1998,True,12,66.14100185528757
ALBUSKJELL,1992,0.087,69.7172035266869,27.691634713867,29.35721576845179,35.89012649414018,28.69099290129469,24.412018536780177,31.307848219759503,25.012967587751174,48.7356693355596,52.521661725692255,14.343661957370564,55.7,7.4,25.04.1975,26.05.1979,26.08.1998,True,13,58.69334746885768
ALBUSKJELL,1993,0.096,71.37573181386091,23.877163241484837,27.691634713867,29.35721576845179,35.89012649414018,28.69099290129469,24.412018536780177,31.307848219759503,25.012967587751174,48.7356693355596,0.0,55.7,7.4,25.04.1975,26.05.1979,26.08.1998,True,14,63.99416909620991
ALBUSKJELL,1994,0.081,72.89490133610391,21.7310580616529,23.877163241484837,27.691634713867,29.35721576845179,35.89012649414018,28.69099290129469,24.412018536780177,31.307848219759503,25.012967587751174,4.11551417864961,55.7,7.4,25.04.1975,26.05.1979,26.08.1998,True,15,70.95149748210974
ALBUSKJELL,1995,0.07400000000000001,74.41514845363629,22.90416268844224,21.7310580616529,23.877163241484837,27.691634713867,29.35721576845179,35.89012649414018,28.69099290129469,24.412018536780177,31.307848219759503,4.0314372306454835,55.7,7.4,25.04.1975,26.05.1979,26.08.1998,True,16,73.86694937715346
ALBUSKJELL,1996,0.054000000000000006,75.7732873818402,27.232552147322263,22.90416268844224,21.7310580616529,23.877163241484837,27.691634713867,29.35721576845179,35.89012649414018,28.69099290129469,24.412018536780177,0.0,55.7,7.4,25.04.1975,26.05.1979,26.08.1998,True,17,70.05035780545985
ALBUSKJELL,1997,0.046,77.0706605506334,24.806240399059625,27.232552147322263,22.90416268844224,21.7310580616529,23.877163241484837,27.691634713867,29.35721576845179,35.89012649414018,28.69099290129469,0.0,55.7,7.4,25.04.1975,26.05.1979,26.08.1998,True,18,83.87225019878079
ALBUSKJELL,1998,0.03,77.9069380352619,16.403117602802734,24.806240399059625,27.232552147322263,22.90416268844224,21.7310580616529,23.877163241484837,27.691634713867,29.35721576845179,35.89012649414018,0.0,55.7,7.4,25.04.1975,26.05.1979,26.08.1998,True,19,105.64537503313015
ALVE,2009,0.259,98.79296441592571,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,33.70653746613997,29.713677262955862,29.549440440200854,682.2348170082332,5.9,1.7,16.03.2007,18.03.2009,,False,0,209.725
ALVE,2010,0.244,100.0,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,33.70653746613997,29.713677262955862,427.0,5.9,1.7,16.03.2007,18.03.2009,,False,1,278.4
ALVE,2011,0.318,102.06429983160999,109.01379507843096,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,33.70653746613997,361.5367965182653,5.9,1.7,16.03.2007,18.03.2009,,False,2,359.6083333333333
ALVE,2012,0.243,103.896811080026,107.46399769735716,109.01379507843096,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,30.799790356753263,5.9,1.7,16.03.2007,18.03.2009,,False,3,385.175
ALVE,2013,0.136,105.444891271546,103.02775097963944,107.46399769735716,109.01379507843096,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,5.690176098288683,5.9,1.7,16.03.2007,18.03.2009,,False,4,384.4666666666667
ALVE,2014,0.184,106.980012591836,92.56246184148432,103.02775097963944,107.46399769735716,109.01379507843096,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,0.0,5.9,1.7,16.03.2007,18.03.2009,,False,5,360.5166666666667
ALVHEIM,2008,2.3,98.04837554103632,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,33.70653746613997,29.713677262955862,29.549440440200854,35.25693997530201,2737.424241033613,105.7,43.3,06.10.2004,07.06.2008,,False,0,210.6916666666667
ALVHEIM,2009,4.973,98.79296441592571,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,33.70653746613997,29.713677262955862,29.549440440200854,438.29032012546753,105.7,43.3,06.10.2004,07.06.2008,,False,1,209.725
ALVHEIM,2010,4.57,100.0,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,33.70653746613997,29.713677262955862,1320.0,105.7,43.3,06.10.2004,07.06.2008,,False,2,278.4
ALVHEIM,2011,3.856,102.06429983160999,109.01379507843096,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,33.70653746613997,1326.6146950832824,105.7,43.3,06.10.2004,07.06.2008,,False,3,359.6083333333333
ALVHEIM,2012,4.013,103.896811080026,107.46399769735716,109.01379507843096,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,1126.1173349187911,105.7,43.3,06.10.2004,07.06.2008,,False,4,385.175
ALVHEIM,2013,3.489,105.444891271546,103.02775097963944,107.46399769735716,109.01379507843096,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,224.76195588240296,105.7,43.3,06.10.2004,07.06.2008,,False,5,384.4666666666667
ALVHEIM,2014,3.16,106.980012591836,92.56246184148432,103.02775097963944,107.46399769735716,109.01379507843096,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,0.0,105.7,43.3,06.10.2004,07.06.2008,,False,6,360.5166666666667
ATLA,2012,0.038,103.896811080026,107.46399769735716,109.01379507843096,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,1038.530431091774,0.4,0.3,04.11.2011,06.10.2012,,False,0,385.175
ATLA,2013,0.07200000000000001,105.444891271546,103.02775097963944,107.46399769735716,109.01379507843096,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,0.0,0.4,0.3,04.11.2011,06.10.2012,,False,1,384.4666666666667
ATLA,2014,0.035,106.980012591836,92.56246184148432,103.02775097963944,107.46399769735716,109.01379507843096,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,0.0,0.4,0.3,04.11.2011,06.10.2012,,False,2,360.5166666666667
BALDER,1991,0.129,68.1632532565899,29.35721576845179,35.89012649414018,28.69099290129469,24.412018536780177,31.307848219759503,25.012967587751174,48.7356693355596,52.521661725692255,55.840689943376034,0.0,187.6,71.5,02.02.1996,02.10.1999,,False,0,66.14100185528757
BALDER,1999,0.8809999999999999,79.099233099589,22.562376356034985,16.403117602802734,24.806240399059625,27.232552147322263,22.90416268844224,21.7310580616529,23.877163241484837,27.691634713867,29.35721576845179,1957.0354089919024,187.6,71.5,02.02.1996,02.10.1999,,False,1,115.92896899019348
BALDER,2000,4.018,80.8989663311122,35.25693997530201,22.562376356034985,16.403117602802734,24.806240399059625,27.232552147322263,22.90416268844224,21.7310580616529,23.877163241484837,27.691634713867,1762.6924850479672,187.6,71.5,02.02.1996,02.10.1999,,False,2,100.00833333333333
BALDER,2001,3.888,82.7426835695228,29.549440440200854,35.25693997530201,22.562376356034985,16.403117602802734,24.806240399059625,27.232552147322263,22.90416268844224,21.7310580616529,23.877163241484837,4364.132083008806,187.6,71.5,02.02.1996,02.10.1999,,False,3,89.14166666666668
