,year,ppi_oandg,well_costs,cost_index,oil_price_real
48,1956.0,,,,12.140364778320176
49,1957.0,,,,11.568221772132562
50,1958.0,,,,12.383078650705706
51,1959.0,,,,12.214356830236008
0,1960.0,,34.601113172541744,34.601113172541744,11.004984013444043
1,1961.0,,33.95176252319109,33.95176252319109,10.312420167194096
2,1962.0,,36.019082957858465,36.019082957858465,10.186201548980813
3,1963.0,,33.44818446859263,33.44818446859263,10.073045893947123
4,1964.0,,33.421680360455866,33.421680360455866,9.920743360984346
5,1965.0,,35.6612774980122,35.6612774980122,9.742119524623027
6,1966.0,,39.10681155579115,39.10681155579115,9.475884904081099
7,1967.0,,40.432016962629206,40.432016962629206,9.208473415942127
8,1968.0,,43.334216803604555,43.334216803604555,8.833055322198756
9,1969.0,,44.88470712960508,44.88470712960508,8.418754554199861
10,1970.0,,45.66657831963955,45.66657831963955,7.996497579291128
11,1971.0,,43.41372912801484,43.41372912801484,9.470447100201039
12,1972.0,,46.75324675324675,46.75324675324675,10.05023671087586
13,1973.0,,48.74105486350384,48.74105486350384,12.644433252233846
14,1974.0,,52.94195600318049,52.94195600318049,40.8371480224692
15,1975.0,,62.00636098595281,62.00636098595281,37.21397886181544
16,1976.0,,63.172541743970314,63.172541743970314,39.16392474627778
17,1977.0,,70.4214153193745,70.4214153193745,40.10288526632323
18,1978.0,,81.0760667903525,81.0760667903525,37.740610773189005
19,1979.0,,88.62973760932944,88.62973760932944,78.60247548313599
20,1980.0,,90.16697588126159,90.16697588126159,84.00785445661639
21,1981.0,,101.69626292075272,101.69626292075272,74.95614812832369
22,1982.0,,108.6668433607209,108.6668433607209,64.76286650172835
23,1983.0,,75.5499602438378,75.5499602438378,55.840689943376034
24,1984.0,,63.94116087993639,63.94116087993639,52.521661725692255
25,1985.0,,66.41929499072356,66.41929499072356,48.7356693355596
26,1986.0,,67.81076066790352,67.81076066790352,25.012967587751174
27,1987.0,,50.62284654121388,50.62284654121388,31.307848219759503
28,1988.0,,62.09912536443149,62.09912536443149,24.412018536780177
29,1989.0,,61.10522130930295,61.10522130930295,28.69099290129469
30,1990.0,,62.311158229525574,62.311158229525574,35.89012649414018
31,1991.0,,66.14100185528757,66.14100185528757,29.357215768451788
32,1992.0,,58.693347468857674,58.693347468857674,27.691634713867
33,1993.0,,63.99416909620991,63.99416909620991,23.877163241484837
34,1994.0,,70.95149748210973,70.95149748210973,21.7310580616529
35,1995.0,,73.86694937715346,73.86694937715346,22.90416268844224
36,1996.0,,70.05035780545985,70.05035780545985,27.232552147322263
37,1997.0,,83.8722501987808,83.8722501987808,24.806240399059625
38,1998.0,,105.64537503313014,105.64537503313014,16.403117602802737
39,1999.0,,115.92896899019347,115.92896899019347,22.562376356034985
40,2000.0,100.00833333333333,100.0,100.00833333333333,35.25693997530201
41,2001.0,89.14166666666667,122.06467002385371,89.14166666666667,29.549440440200854
42,2002.0,83.725,134.09753511794327,83.725,29.713677262955862
43,2003.0,85.64166666666665,149.40365756692287,85.64166666666665,33.70653746613997
44,2004.0,103.52499999999999,202.55764643519746,103.52499999999999,43.421238397842885
45,2005.0,135.09166666666667,201.73601908295785,135.09166666666667,59.88122404491713
46,2006.0,156.12500000000003,238.70924993373973,156.12500000000003,69.54947373496447
47,2007.0,152.07500000000002,461.4100185528757,152.07500000000002,75.35718737656343
52,2008.0,210.6916666666667,,210.6916666666667,98.7752213798446
53,2009.0,209.725,,209.725,62.24127432913394
54,2010.0,278.4,,278.4,79.51166666666667
55,2011.0,359.60833333333335,,359.60833333333335,109.01379507843096
56,2012.0,385.17499999999995,,385.17499999999995,107.46399769735716
57,2013.0,384.4666666666667,,384.4666666666667,103.02775097963944
58,2014.0,360.5166666666667,,360.5166666666667,92.56246184148432
59,2015.0,300.15,,300.15,
