"","beta0","beta05"
"1",-0.0144755629397097,0.052556645821032
"2",-0.0126261426488335,0.0642807786444975
"3",-0.00624236142754967,0.0472602335559952
"4",0.00305120286718634,0.0476741304170846
"5",-0.00823017343445091,0.0562244160336858
"6",-0.00859735708115671,0.0483479524790284
"7",-0.00199110438262944,0.0542148371652344
"8",-0.0117138835723537,0.0637106340042214
"9",-0.0126906000596463,0.0494011875380609
"10",0.00140474094366922,0.0494410304248349
"11",0.00548774165266742,0.0454016106613693
"12",-0.000440368391664086,0.0566583734416993
"13",0.00374341276805724,0.0330824050028822
"14",0.00600810830354005,0.0457308097212894
"15",-0.00172151724062096,0.0587477089799089
"16",-0.0040229394477128,0.0498899627178021
"17",-0.0011157534273171,0.0377662382368523
"18",0.0103830963407895,0.0507822285351642
"19",-0.00377288249440922,0.0459459254067394
"20",-0.0112317301714844,0.0569003436609349
"21",0.00164193811419394,0.0570889261639235
"22",0.000180674998142642,0.0462386546609404
"23",-0.0101075687343074,0.055020716821659
"24",0.00422537444040668,0.0344368390245154
"25",-0.00741846109780951,0.0451661679478003
"26",0.00278200160976471,0.0446747127099149
"27",-0.00417502940180759,0.0430539913657577
"28",-0.0076201694376727,0.045410649672637
"29",-0.00865156859679905,0.0411134227012599
"30",-0.00185334888068062,0.0456753830831397
"31",-0.00216646507378616,0.0366867665083231
"32",-0.0132252858545432,0.0493124710761755
"33",-0.00163136697917131,0.0499329214225213
"34",-0.00409380623040669,0.0517403901213381
"35",-0.0121419723574585,0.0509910551393188
"36",0.00316878297752346,0.0495956747477894
"37",-0.00362387446715232,0.0592300230571696
"38",-0.00256391173711553,0.0466548643540981
"39",0.00101894618156225,0.0531908137663223
"40",-0.00043853050030097,0.0486984893032427
"41",-0.00745393684408985,0.0377546247618795
"42",0.000169901105808419,0.0614914738354645
"43",0.00552259184969995,0.0610420561066231
"44",-0.0150917595169892,0.0578145522197244
"45",0.00298452672110835,0.0507242725004608
"46",0.00450046227767186,0.0590207929581054
"47",-0.00702902695018494,0.0617048795573622
"48",-0.000793088882715963,0.0410047483923251
"49",0.00159884601863009,0.0594195634039396
"50",0.00622091479876075,0.0453179519264187
"51",-0.0158493467014723,0.0507269396473491
"52",-0.000489507620412774,0.0439482975048589
"53",-0.00367910734371563,0.0497977688249274
"54",-0.00305401420500874,0.0459254426862266
"55",-0.0025509823654812,0.0511768065708886
"56",-0.00890560919060659,0.0584598741961217
"57",-0.00677870404444514,0.0488554616920687
"58",0.00447246070536487,0.0452070323602948
"59",-0.00337827702374637,0.0472781488494973
"60",-0.00504816838020536,0.0374816575497753
"61",0.0109746586973054,0.0473789627691196
"62",-0.000372357892333093,0.038902621206045
"63",0.0120444661710345,0.0519462000674986
"64",0.00298048478375463,0.0417224868104155
"65",-0.0127719183913541,0.043707548464926
"66",-0.00902746546437219,0.0483741390323062
"67",0.0115487892119795,0.0389309904989124
"68",-0.0205089750484166,0.0624406348769008
"69",0.0151683628565742,0.0528510673287145
"70",0.0019604964055472,0.0479450652357485
"71",0.00215643867855275,0.0442769854816767
"72",-0.00505229934843527,0.0365538853935481
"73",0.00597329002719511,0.0417408580378304
"74",0.00934774118104594,0.0481968794979606
"75",0.0105501889008555,0.050870090795848
"76",0.004629298715262,0.053420826082176
"77",0.00498753260508424,0.0546089196978861
"78",-0.00299599400431436,0.0567519376055952
"79",-0.000108866878703527,0.0476252226583628
"80",0.00285994759251139,0.0482469874894281
"81",-0.010888700165351,0.0465904609204641
"82",-0.00868615782822335,0.0519256790253546
"83",-0.00716280787642825,0.0583832404677811
"84",-0.0096195110215244,0.0398295488475555
"85",0.00858005880468852,0.0527147242507336
"86",0.00436755711242964,0.0380961205671791
"87",0.00173327925007761,0.0488603252452551
"88",0.00782857008573093,0.045010029700087
"89",-0.0024508714048166,0.0560612148027013
"90",-0.00109215502767143,0.0491404515991467
"91",0.00677659148329186,0.052759733842336
"92",-0.00589426050497129,0.0497122938127363
"93",0.0030057658405185,0.043152478841327
"94",-0.000335717629182939,0.052766195463144
"95",0.00829167485925702,0.0523474087708619
"96",0.0116900214868339,0.054734549159789
"97",0.000265324980415081,0.0596067795937318
"98",-0.00667275302283258,0.042471038311262
"99",-0.00662760284202413,0.0568999255588344
"100",-0.0222708769803312,0.0525496540542639
